query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
0,0.01701636199868517,197648154423.875,44830646425695.055,2331305332693.8535,2230382996496900.0,1984847,0.0009566326418472336
1,0.017307711001194548,190052121304.1172,9648920195697.633,2981041818499.791,482166781991700.0,70283,0.00578843213891022
2,0.01792825200391235,108229085281.66748,2617581336141.927,1707561074705.0376,131163008162400.0,15938,0.012193468355370066
3,0.11684092799987411,7107124253.073166,68987410260.02393,98458504564.2312,3308254894800.0,3054,0.02761316259359171
3,0.11684092799987411,6935721288.232948,65700421760.098274,98787840143.09802,3287647255200.0,2996,0.027938556580115032
3,0.11684092799987411,6915387779.368324,65317089055.28736,98945039049.88298,3416451746700.0,3225,0.026937202130663022
3,0.11684092799987411,7126435692.222092,69364863246.03531,101697662642.8272,3558567603000.0,3312,0.026575644332533732
3,0.11684092799987411,6854568724.560875,64173558631.534096,98913997621.53172,3305553658800.0,3021,0.02784992724347145
3,0.11684092799987411,6885266687.489372,64747969716.87052,100105838627.4724,3355903895400.0,3040,0.027778081508163036
3,0.11684092799987411,6990744304.433212,66747433040.45552,98879650232.15959,3290705636100.0,2996,0.02792376957685862
3,0.11684092799987411,6968098193.501282,66316820717.079865,98491810304.58212,3270671987700.0,2983,0.027983152225375583
3,0.11684092799987411,6902309673.004784,65073439309.27755,101284347795.11815,3427104071400.0,3097,0.027539880947810708
3,0.11684092799987411,6978324951.653358,66510054994.49853,98754331217.51135,3307320518100.0,3034,0.027749353521557617
3,0.11684092799987411,7010907584.554771,67131353717.14637,98570637186.6979,3281513882700.0,2998,0.027901673701532112
3,0.11684092799987411,6885102772.235779,64746009810.604034,101007931077.5171,3388931954100.0,3045,0.027773596395586988
3,0.11684092799987411,7030579617.066383,67509982646.91767,100588847497.5854,3387043662000.0,3067,0.027622397942539133
3,0.11684092799987411,6980972265.401375,66559490509.95643,101188215838.2154,3450842035500.0,3146,0.027299784401508872
3,0.11684092799987411,6905754259.157982,65132086384.18803,98288675175.6165,3325728878700.0,3097,0.027477561836664013
3,0.11684092799987411,6872919494.852806,64513727520.93993,96871484695.79677,3208765899900.0,2968,0.028047719281655524
3,0.11684092799987411,6973011134.7127,66410987972.95605,99298834597.18169,3339229055100.0,3059,0.02764884407119658
3,0.11684092799987411,6953387244.029587,66034906921.33124,99094414353.41791,3314874262500.0,3027,0.02779623593924728
3,0.11684092799987411,7052625072.074577,67935695204.62707,99095485163.00784,3313267911000.0,3024,0.027780083761217236
3,0.11684092799987411,7138455103.920929,69600477376.35245,100844116660.4849,3483112283400.0,3227,0.02690285409492865
3,0.11684092799987411,6887916989.560646,64797013251.07513,99489696571.29164,3282694601400.0,2945,0.02820907541695724
3,0.11684092799987411,6975725174.154915,66461207450.92057,99216208504.41075,3334275576900.0,3055,0.02766432503938839
3,0.11684092799987411,6940624622.08004,65794197034.72117,100173872398.07715,3346003125300.0,3018,0.027864064761636432
3,0.11684092799987411,6990905749.742653,66749392946.72204,98243378011.84828,3291824812800.0,3037,0.02772093821860678
3,0.11684092799987411,7022963988.859085,67365007941.19701,99364407001.35794,3355614228600.0,3085,0.02751849191288736
3,0.11684092799987411,6973901305.707619,66421767457.42184,98804598874.22517,3313363919100.0,3042,0.02771524644158655
3,0.11684092799987411,7006085663.027916,67037970423.77679,101041870123.38023,3393956724000.0,3052,0.027706830731042735
3,0.11684092799987411,7116707225.6548,69175156799.89636,100733624723.48102,3474979957500.0,3219,0.026940275524690194
3,0.11684092799987411,7111544407.503876,69076677750.23386,102465588065.98103,3568626510300.0,3281,0.02672009620038975
3,0.11684092799987411,6973771826.164459,66420199532.408646,101923934577.17065,3455974380900.0,3110,0.027474209090137817
3,0.11684092799987411,6998088574.061279,66888683924.269806,101128613478.65413,3417969865500.0,3090,0.027539893155501212
3,0.11684092799987411,7177502179.673019,70363418964.06792,101186466089.44283,3474829592700.0,3190,0.02705426594364971
3,0.11684092799987411,6933252043.330414,65653338132.16017,101292329454.39484,3386160866100.0,3023,0.027866094123207497
3,0.11684092799987411,7020605805.975952,67318904266.39218,101461203714.82718,3464548517100.0,3154,0.02725913562552812
3,0.11684092799987411,7146374102.139404,69750743828.99268,102671331554.07562,3531357665400.0,3200,0.0270504906336402
3,0.11684092799987411,6972994949.804382,66410791982.32941,100096887758.44952,3323421745500.0,2982,0.02802048609531346
3,0.11684092799987411,7114094554.491623,69125525293.81181,98879116334.87856,3359737101900.0,3123,0.027313155463411686
3,0.11684092799987411,7082448789.239761,68509910299.33682,102294866946.17598,3527741933400.0,3217,0.026989621110173303
3,0.11684092799987411,6796422825.735916,63085343442.038284,97370738806.78113,3176009839800.0,2878,0.028518273100422403
3,0.11684092799987411,7087616887.579071,68608193358.37268,99615534748.00476,3375537615900.0,3106,0.02741131291933641
3,0.11684092799987411,7095533012.001556,68798920068.05664,99834038484.87167,3376388424600.0,3094,0.02746677627407659
3,0.11684092799987411,6924409453.243141,65520912411.026955,96316973068.20096,3159602802300.0,2911,0.028292342173479982
3,0.11684092799987411,6904108979.517418,65138627063.333,99513556008.24274,3391564554000.0,3142,0.02730581876128586
3,0.11684092799987411,7114812795.918381,69175341761.75652,105708003332.3774,3743891303100.0,3393,0.026334415866940988
3,0.11684092799987411,6843389052.914803,63998221039.64466,96753841131.41624,3229080946200.0,3013,0.02784397591033094
3,0.11684092799987411,6874037113.167534,64571062695.786156,99166282079.70816,3341316810000.0,3071,0.027621518764795194
3,0.11684092799987411,6979342726.569809,66565063004.82585,99051713645.09782,3314534663100.0,3029,0.027778370201871738
3,0.11684092799987411,6956733438.97596,66135627217.85285,96251768314.53897,3153661910100.0,2904,0.028314713948754115
3,0.11684092799987411,6891051920.735321,64895643027.01175,96368572510.74799,3175926025500.0,2938,0.02817367906921756
3,0.11684092799987411,6966943658.276176,66328333532.7649,97903655176.04362,3286930981200.0,3049,0.0276661457261777
3,0.11684092799987411,6999473276.168846,66947934717.91918,98070440214.36832,3272475685800.0,3012,0.02782937924745374
3,0.11684092799987411,6873873367.699844,64569108144.45482,99611491654.55783,3346448603100.0,3053,0.027712249398048432
3,0.11684092799987411,7019113120.516548,67325529142.417885,98591774560.02925,3258590555100.0,2955,0.028101923175402596
3,0.11684092799987411,6969586744.771133,66377633978.50844,101104810453.74693,3416049813600.0,3088,0.02755674795320725
3,0.11684092799987411,6894491437.621216,64954129864.012634,101249605674.35893,3443587081200.0,3129,0.027400240508469276
3,0.11684092799987411,6861710244.062935,64337460505.855385,95985543981.41571,3165989736900.0,2943,0.02815038618053733
3,0.11684092799987411,6961638317.313438,66229537186.14469,99518271696.1009,3362439963600.0,3088,0.027526627800275018
3,0.11684092799987411,6942046662.073822,65854483678.376755,98231827748.73567,3337198399500.0,3122,0.02735521541072879
3,0.11684092799987411,7041122492.20018,67750078551.0625,99068961476.95229,3395174102400.0,3177,0.027105484493328027
3,0.11684092799987411,7126812491.356094,69410312137.61923,102327816056.70557,3543662547900.0,3244,0.026865143697660004
3,0.11684092799987411,6876683164.852295,64619972231.26344,97483909311.73453,3180255701100.0,2879,0.028490547510234044
3,0.11684092799987411,6964348059.323547,66279619452.42076,97613895907.64282,3255618557100.0,3009,0.027844032173433415
3,0.11684092799987411,6929304720.217865,65614431469.052505,100915230838.98888,3403010850300.0,3076,0.02761846207762913
3,0.11684092799987411,6979504004.6525955,66567017556.15719,94491011508.23575,3103431159300.0,2918,0.028198307940982964
3,0.11684092799987411,7011509806.121086,67180950542.450554,99703194804.48761,3391531699200.0,3130,0.027330331313203053
3,0.11684092799987411,6962527566.261681,66240287218.467125,98269534562.14507,3267669311100.0,2991,0.027942548129249525
3,0.11684092799987411,6994659307.382751,66854806570.15988,100481171516.63217,3409789290300.0,3115,0.02741709362370139
3,0.11684092799987411,7105100228.313141,68986153639.2409,100553203084.17232,3495071374800.0,3268,0.026737108583714288
3,0.11684092799987411,7099945671.921829,68887943658.02008,101623507133.24493,3514384914300.0,3235,0.026896189167187577
3,0.11684092799987411,6962398220.833664,66238723577.40204,99911155693.96422,3379545157500.0,3095,0.027503333478724364
3,0.11684092799987411,6986674943.035439,66705927957.2636,101049801131.82175,3408660167400.0,3078,0.02759533704427162
3,0.11684092799987411,7165795952.198715,70171169185.47754,100785212598.66177,3448552710300.0,3167,0.02714745126755474
3,0.11684092799987411,6921944260.795357,65473957426.881035,98060923174.44998,3266175935700.0,3001,0.027903879248354673
3,0.11684092799987411,7009155542.064537,67134972833.97033,100967974714.31752,3435097565100.0,3131,0.027352591124880532
3,0.11684092799987411,7134718933.09819,69560168026.18121,100528869872.99745,3508097606700.0,3294,0.02662244937584657
3,0.11684092799987411,6961622149.16951,66229341731.01155,98021192767.04543,3238636832700.0,2953,0.0281166352764416
3,0.11684092799987411,7102491720.160431,68936657738.36424,99706119624.87952,3367152606600.0,3085,0.02750205848205558
3,0.11684092799987411,7070897717.849594,68322724752.07085,103590973268.24516,3611665046700.0,3288,0.026724536827850785
3,0.11684092799987411,6785338310.676651,62912979115.69391,95995263762.98361,3122422923600.0,2862,0.02857073741613846
3,0.11684092799987411,7076057536.857628,68420739278.15853,100260024135.56715,3438701543400.0,3182,0.027098590971804528
3,0.11684092799987411,7095533012.001556,68798920068.05663,99726710319.7768,3363475275600.0,3077,0.027540317593460248
3,0.11684092799987411,6924409453.243355,65520912411.026924,98730442635.65192,3243216723900.0,2919,0.028307091692599227
3,0.11684092799987411,6904108979.517311,65138627063.333,99796941800.55823,3410419936800.0,3159,0.02723794563205678
3,0.11684092799987411,7114812795.918381,69175341761.7565,103439542981.86575,3572762694300.0,3227,0.026960853106651677
3,0.11684092799987411,6843389052.91481,63998221039.64465,99095865344.15419,3310533168900.0,3019,0.027866350096680155
3,0.11684092799987411,6874037113.1675415,64571062695.78613,97534245620.17992,3250795329600.0,3005,0.027888623956577367
3,0.11684092799987411,6979342726.569801,66565063004.82583,96793039403.35489,3207786661800.0,2971,0.027998650205243863
3,0.11684092799987411,6956733438.97596,66135627217.85284,98052438642.4961,3260448630900.0,2991,0.027939622891213742
3,0.11684092799987411,6891051920.735321,64895643027.011734,99458525960.73903,3305545144500.0,2988,0.02800369379133243
3,0.11684092799987411,6966943658.276184,66328333532.76489,97628365738.50818,3225105798300.0,2952,0.02811114665696268
3,0.11684092799987411,6999473276.1688385,66947934717.919174,95445588138.00244,3170037368700.0,2984,0.027900653706837676
3,0.11684092799987411,6873873367.699951,64569108144.4548,102715304718.61775,3505706824800.0,3151,0.027338689782305324
3,0.11684092799987411,7019113120.516457,67325529142.41787,96864595263.48885,3237603774900.0,3022,0.027750610757101505
3,0.11684092799987411,6969586744.771133,66377633978.50844,98855273223.92915,3320505225900.0,3052,0.027672200532150356
3,0.11684092799987411,6894491437.621109,64954129864.01262,99718113551.65825,3395832135900.0,3137,0.02733457320599742
3,0.11684092799987411,6861710244.062935,64337460505.85537,96030099776.73889,3158837340600.0,2927,0.02822823080714217
3,0.11684092799987411,6961638317.313446,66229537186.14467,101799755446.11246,3445656279600.0,3099,0.027523963341987378
3,0.11684092799987411,6942046662.073822,65854483678.37674,99112363676.53723,3343292577000.0,3078,0.0275687260063759
3,0.11684092799987411,7041122492.20018,67750078551.062485,99630906534.67708,3373872748200.0,3102,0.02744317612212097
3,0.11684092799987411,7126812491.356094,69410312137.61923,102758685509.3821,3556944266700.0,3241,0.026885963300951488
3,0.11684092799987411,6876683164.852295,64619972231.26343,97778488229.6499,3231156562500.0,2954,0.028132900188056923
