query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
0,0.01639997299935203,197618223305.03906,44829690874999.984,2331305332693.8535,2230382996496900.0,1984847,0.0009566460615688164
1,0.016921312002523337,190230996050.9297,9658102334753.527,2981041818499.791,482166781991700.0,70283,0.0057880611578441385
2,0.0174984730037977,108331824601.0957,2620072288013.339,1707561074705.0376,131163008162400.0,15938,0.012192685060439067
3,0.2052473179937806,6580856021.466232,68987434144.04494,98458504564.2312,3308254894800.0,3054,0.02777223988610449
3,0.2052473179937806,6421992123.426315,65699933979.17697,98787840143.09802,3287647255200.0,2996,0.028094817007383824
3,0.2052473179937806,6403233754.132439,65317034571.99473,98945039049.88298,3416451746700.0,3225,0.027087110299490697
3,0.2052473179937806,6598854902.444,69364946343.30138,101697662642.8272,3558567603000.0,3312,0.02672390083589012
3,0.2052473179937806,6346893875.889801,64173723558.373764,98913997621.53172,3305553658800.0,3021,0.028003509638759316
3,0.2052473179937806,6375268038.558052,64748265069.4302,100105838627.4724,3355903895400.0,3040,0.027930052084445142
3,0.2052473179937806,6473027597.692032,66747327740.719315,98879650232.15959,3290705636100.0,2996,0.028081096534658092
3,0.2052473179937806,6452105654.201752,66316950708.205414,98491810304.58212,3270671987700.0,2983,0.028140915688431502
3,0.2052473179937806,6391283323.752014,65073682036.56148,101284347795.11815,3427104071400.0,3097,0.027688994117007232
3,0.2052473179937806,6461495781.434814,66509939614.061066,98754331217.51135,3307320518100.0,3034,0.027905621765711784
3,0.2052473179937806,6491631596.752586,67131189149.31689,98570637186.6979,3281513882700.0,2998,0.028059916514564166
3,0.2052473179937806,6375173230.213455,64746341066.59956,101007931077.5171,3388931954100.0,3045,0.02792406549586072
3,0.2052473179937806,6509931932.464073,67509855750.271736,100588847497.5854,3387043662000.0,3067,0.027776115383634916
3,0.2052473179937806,6463897297.525627,66559341242.22335,101188215838.2154,3450842035500.0,3146,0.027449624632547097
3,0.2052473179937806,6394155413.534035,65132126478.027794,98288675175.6165,3325728878700.0,3097,0.027631392429680938
3,0.2052473179937806,6363692702.726814,64513570546.73484,96871484695.79677,3208765899900.0,2968,0.02820641792406563
